Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
way,home,1198,469,19
strange,idea,548,798,11
table,sit,520,1134,12
young,officer,776,165,19
hear,name,1132,335,10
begin,talk,1745,1065,44
want,ask,1315,1621,18
understand,understand,1051,1051,15
want,help,1315,383,10
good,deed,1595,51,16
set,right,420,927,11
great,man,1202,2546,19
question,ask,897,1621,19
think,anything,2317,796,17
clock,morning,193,497,21
next,morning,356,497,43
head,ache,804,58,23
eye,turn,1211,1279,12
little,look,1465,2970,13
raise,eye,265,1211,22
begin,listen,1745,702,20
hand,shake,1662,194,10
lay,table,414,520,14
piece,paper,159,240,13
rush,door,282,750,10
important,thing,191,1295,12
chief,point,140,586,14
turn,eye,1279,1211,16
notice,nothing,475,1567,11
try,look,630,2970,13
look,face,2970,1410,24
good,heaven,1595,201,69
day,yesterday,1711,385,48
much,afraid,1227,541,15
peculiar,way,99,1198,10
good,nothing,1595,1567,12
flash,mind,142,851,21
window,look,340,2970,10
think,minute,2317,677,11
half,minute,387,677,17
hear,something,1132,1444,24
moment,stand,1301,1039,13
chapter,vii,172,29,14
stand,doorway,1039,69,12
try,something,630,1444,20
begin,try,1745,630,11
minute,pass,677,521,19
ask,look,1621,2970,26
raise,hand,265,1662,27
eye,seem,1211,1349,12
idea,occur,798,93,15
white,sheet,173,40,12
silk,dress,37,285,11
open,mouth,682,93,17
left,hand,152,1662,24
spend,time,216,2625,18
stand,middle,1039,123,19
begin,speak,1745,1198,36
lock,door,121,750,13
man,cry,2546,1704,11
hear,voice,1132,588,22
loud,voice,110,588,34
canal,bank,22,57,10
moment,think,1301,2317,14
lie,floor,568,177,11
piece,evidence,159,203,20
idea,head,798,804,13
enter,head,276,804,14
cover,blood,153,221,21
deep,sigh,122,70,11
sit,sofa,1134,258,15
round,room,493,1129,11
turn,head,1279,804,26
fix,eye,159,1211,10
begin,read,1745,561,11
stand,wait,1039,639,15
room,sit,1129,1134,11
head,clerk,804,136,22
sit,table,1134,520,11
write,something,602,1444,10
wait,minute,639,677,33
try,catch,630,309,10
face,look,1410,2970,47
couple,word,110,1439,11
quarter,hour,105,508,39
raskolnikov,answer,782,818,15
pay,debt,324,67,14
last,night,1586,587,80
laugh,laugh,1027,1027,14
ilya,petrovitch,40,331,33
put,word,1071,1439,13
begin,play,1745,288,16
stand,window,1039,340,10
nikodim,fomitch,24,26,24
mother,sister,762,314,41
half,hour,387,508,68
knock,door,137,750,17
ha,ha,252,252,157
sit,chair,1134,362,14
right,side,927,427,11
sick,man,120,2546,27
black,eye,139,1211,22
something,sort,1444,699,35
idea,strike,798,344,19
idea,seem,798,1349,13
think,look,2317,2970,11
begin,laugh,1745,1027,14
nervous,laugh,102,1027,12
new,life,511,1043,39
good,lord,1595,121,26
cry,look,1704,2970,14
face,face,1410,1410,17
stay,minute,341,677,11
woman,question,1047,897,14
serve,right,126,927,10
reach,home,258,469,10
raise,voice,265,588,18
time,seem,2625,1349,20
stand,beside,1039,231,11
moment,door,1301,750,11
hear,news,1132,135,10
cry,razumihin,1704,344,18
intelligent,man,51,2546,11
hear,word,1132,1439,25
want,money,1315,993,17
bear,witness,205,184,15
sort,thing,699,1295,36
set,work,420,382,17
minute,look,677,2970,11
eye,fix,1211,159,47
point,view,586,164,34
young,lady,776,681,97
tell,lie,2482,568,64
honest,man,106,2546,22
table,look,520,2970,10
play,fool,288,325,12
raskolnikov,ask,782,1621,17
door,stand,750,1039,11
tell,thing,2482,1295,17
last,hour,1586,508,20
great,thing,1202,1295,31
need,tell,499,2482,11
porfiry,petrovitch,213,331,82
tell,please,2482,294,12
stand,door,1039,750,13
wait,hear,639,1132,10
third,day,156,1711,12
day,hour,1711,508,19
wait,bit,639,158,35
till,day,389,1711,12
human,nature,100,225,14
rise,seat,287,192,27
move,chair,337,362,10
sit,look,1134,2970,10
shrug,shoulder,37,175,36
good,look,1595,2970,16
raskolnikov,smile,782,734,11
break,silence,397,305,12
andrey,semyonovitch,142,25,21
serious,matter,153,609,11
young,generation,776,55,17
new,idea,511,798,36
everything,world,811,429,10
sort,man,699,2546,26
oh,dear,1118,480,48
good,sense,1595,168,15
strange,thing,548,1295,19
high,road,285,111,21
high,society,285,245,10
voice,quiver,588,69,12
tell,something,2482,1444,34
lie,table,568,520,15
pale,face,238,1410,32
stop,look,411,2970,17
seem,try,1349,630,10
smile,face,734,1410,16
remain,stand,302,1039,15
thousand,year,614,871,30
live,life,606,1043,12
fail,understand,105,1051,18
dear,fellow,480,375,51
screw,eye,26,1211,13
rest,life,310,1043,26
money,pocket,993,235,10
commit,murder,103,412,39
lip,twitch,260,35,13
lot,money,159,993,14
shake,hand,194,1662,24
certain,point,460,586,12
stand,look,1039,2970,24
stand,moment,1039,1301,10
easy,chair,99,362,16
thousand,time,614,2625,17
raskolnikov,walk,782,563,12
turn,walk,1279,563,12
rapid,step,61,419,13
flash,eye,142,1211,14
saw,nothing,589,1567,12
catch,hold,309,550,19
little,girl,1465,465,35
look,ground,2970,189,10
waste,time,71,2625,17
little,boy,1465,461,18
walk,room,563,1129,23
cry,katerina,1704,427,15
cry,ivanovna,1704,635,18
cry,clasp,1704,61,10
clasp,hand,61,1662,51
want,something,1315,1444,18
little,man,1465,2546,15
exchange,glance,58,252,19
word,word,1439,1439,23
fall,asleep,272,134,19
bow,head,218,804,15
ask,forgiveness,1621,63,27
