Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq,t_score,chi_square,likelihood_ratio
new,man,511,2546,17,3.5933805046005514,100.50329639659455,40.572015532356865
sit,beside,1134,231,17,4.0164469212374225,623.6087795111608,91.38339462616607
mean,nothing,1062,1567,17,3.4455190664156996,72.23854551128694,33.17695367958031
divinity,student,18,114,17,4.122270121439873,83858.81631036906,283.3584232596377
black,eye,139,1211,17,4.054567817263441,988.9706102950378,107.96325298936594
ivan,cry,797,1704,17,3.5701386676237052,95.03759752745125,39.142396975104276
raskolnikov,ask,782,1621,17,3.606973326954972,103.93200007118926,41.193519612198514
dmitri,karamazov,427,168,17,4.093897181320491,2365.8646583400737,135.21402173191294
young,generation,776,55,17,4.105727790184918,3999.5311633033307,152.46699789406168
time,past,2625,187,16,3.7939812949495355,279.47547894548836,64.65072909161026
last,month,1586,356,16,3.7630324274595917,239.0270178878209,60.475177395707725
good,deed,1595,51,16,3.96585975744878,1842.7571031055543,120.86576487353787
thou,art,169,38,16,3.99730470664867,23713.107012876924,203.26588166989364
cry,lebedeff,1704,375,16,3.731813694877012,207.71282033786287,56.75248890007982
old,gentleman,1356,637,16,3.637477588186708,145.9908990275063,47.88785685015904
great,idea,1202,798,16,3.597428433288342,128.5882302949702,44.87141927811038
chapter,vi,172,33,16,3.9976178005197527,26833.937647191156,207.18689646130647
vera,lebedeff,51,375,16,3.991973297205826,7941.418146026862,172.45147789997912
whole,month,889,356,16,3.8671726532229362,450.3597999269144,78.2934972525425
easy,chair,99,362,16,3.9849589032816937,4223.06903764989,149.5029870699269
little,face,1465,1410,16,3.133053143697496,45.29007484079349,23.97364614988727
short,time,273,2625,16,3.6992347247124235,181.9935833408154,54.03373849195816
ask,question,1621,897,16,3.389745210419227,75.31524725568238,33.16148166183751
low,voice,182,588,16,3.9550857188903885,1393.1161899793387,113.43501626409314
old,servant,1356,214,16,3.8782106811176695,493.98480015039496,80.88875216092917
old,age,1356,157,16,3.9106498922218416,684.6408117382543,90.5435874021075
twenty,minute,188,677,16,3.9465826601395406,1166.3264950296386,107.90251199249424
little,boy,1465,461,16,3.716551417903933,194.92430464502786,55.123680048149964
answer,raskolnikov,818,782,16,3.7315299797873984,207.46176394705768,56.864085174312784
something,seem,1444,1349,15,3.02862025052942,42.07324698691337,22.332100623890614
second,place,304,704,15,3.780215741454218,596.5989143320567,83.38662371831295
pan,vrublevsky,29,24,15,3.872681657301409,192535.0873753327,263.414628696355
mutter,something,297,1444,15,3.687085763244952,283.229421708036,63.237087619557755
marya,ignatyevna,125,45,15,3.8705451276782563,23796.729443179756,193.0086604286802
alyona,ivanovna,18,635,15,3.8680288861561634,11695.76722003733,189.10060842191945
little,room,1465,1129,15,3.1560452352824413,53.80843995411499,26.259569976626146
something,strange,1444,548,15,3.529980398519098,140.69943869888024,45.50810000946439
felt,sure,657,357,15,3.7713154852659074,541.8108179069458,80.31694328897105
ardalion,alexandrovitch,16,55,15,3.872601900464188,152271.47875006025,271.2220183553508
little,town,1465,549,15,3.5243571080339784,137.98928812521115,45.06154000778145
raskolnikov,look,782,2970,15,2.8662526683912986,31.60539851037675,18.3767441918812
nikolay,stavrogin,518,286,15,3.8087669553348795,874.9203886840826,93.90740418438347
answer,alyosha,818,1239,15,3.4336696829645916,103.94125274560889,38.91774727102718
bear,witness,205,184,15,3.8566331945772085,3523.226102231886,135.2690505507085
clever,man,145,2546,15,3.712962522312295,333.6646966321444,68.316148697004
oh,dear,1118,480,15,3.6403707966094587,220.64989826953106,56.35269512936792
great,pleasure,1202,121,15,3.8099399009953077,891.747583383125,94.20894750963838
begin,look,1745,2970,15,1.6265063221804008,4.5609484090659445,3.7638750872092075
thousand,time,614,2625,15,3.1743524636520557,55.86092769976054,27.04023979693952
good,sense,1595,168,15,3.756833117394304,470.61890298469956,76.23974906326015
cry,katerina,1704,427,15,3.557593602640275,155.42137058370355,47.79392965622556
good,reason,1595,479,14,3.398867569078007,126.09695274491504,41.59161713261969
fifteen,year,142,871,14,3.6861643857696698,916.1681797728016,91.71138117819453
last,hour,1586,508,14,3.3801654559098737,118.26094050276059,40.24360765427581
brain,fever,127,101,14,3.735902234658987,9073.988322612287,155.00296590708996
great,interest,1202,272,14,3.5949658413563337,329.64650090313836,63.93955247828139
local,society,36,245,14,3.737700074724834,13209.081473572529,170.1972655931096
common,sense,90,168,14,3.734873423261186,7693.64760548941,151.09950126250774
honour,sir,216,251,14,3.7173320318924907,2125.5314775244774,114.09935703772763
adelaïda,ivanovna,14,635,14,3.737668667486349,13104.852719696577,191.62678485906534
full,speed,302,18,14,3.7392183903681655,21449.36894928848,178.0762048319977
front,door,97,750,14,3.7090162924913397,1576.9458843688546,107.10259207554219
twenty,pace,188,145,14,3.7294265107582203,4254.911794561971,133.40713330209007
chapter,vii,172,29,14,3.739419396694469,23378.3692398707,180.9949220136308
raskolnikov,answer,782,818,14,3.454650862700847,155.58960366591535,46.26071937669373
chief,point,140,586,14,3.7048481032695477,1395.2353386490277,103.10013010298243
thousand,florin,614,20,14,3.736147659794005,9479.425175771239,154.9434924691748
good,look,1595,2970,14,1.6162173897866243,4.598484420155619,3.763803924644067
unknown,reason,67,479,14,3.72725806527825,3609.9477482652264,130.9216782153756
good,family,1595,388,14,3.4639904780766084,161.69376428842105,47.007674869938846
idea,strike,798,344,14,3.6184907603312526,397.76439688923676,68.73773215656425
understand,nothing,1051,1567,14,3.002727172717312,45.65541988042851,23.068753499264744
human,nature,100,225,14,3.7315622029751987,5160.967906052365,139.74975790366742
minute,pass,677,521,13,3.4413220495260726,259.9991118920011,55.72642172748057
begin,listen,1745,702,13,3.035181376985354,58.23503978059379,26.12441800545195
little,thing,1465,1295,13,2.722204054550998,30.2469495613093,17.005258178622725
doctor,herzenstube,263,32,13,3.6016326858709347,11935.50319711677,152.117256488886
forget,everything,458,811,13,3.4326053294961794,245.64562568531136,54.55361737940722
think,raskolnikov,2317,782,13,2.7619119014004885,32.60126697763629,17.891612987300896
cry,nastasia,1704,417,13,3.2747023721895405,116.86531812511679,38.57061712187661
much,money,1227,993,13,3.038244637552453,58.66773087622256,26.271744019459724
crowd,round,230,493,13,3.5527555442429244,861.9925624960061,84.92716690013455
dark,eye,208,1211,13,3.4882692299060776,374.0762520606596,64.6905135959916
drunken,man,90,2546,13,3.4988609689819814,413.7138734952557,68.16277311946389
remain,stand,302,1039,13,3.4594525105721705,295.3519742189722,58.93149680068733
sensible,man,67,2546,13,3.5261262695273836,564.4300672182882,76.36691058384676
much,afraid,1227,541,13,3.296474849371199,126.76674166089366,40.21706913527426
present,case,405,516,13,3.508247704509071,456.061484751372,69.0235105121642
certain,circumstance,460,195,13,3.563785889711017,1096.423630718133,90.57582631284413
woman,question,1047,897,13,3.168267686630369,82.76605083491228,32.12942576828941
good,fellow,1595,375,13,3.327057168959011,143.3099003295076,42.680413355859
decent,man,37,2546,13,3.5616897050213865,1042.7967303092964,94.0671016654324
whole,time,889,2625,13,2.5189877489558503,21.055650545833732,13.11466252864469
poor,girl,422,465,13,3.5141842559956977,487.3391211811164,70.6024404632906
rapid,step,61,419,13,3.5936507013897394,3912.690429551058,125.61368364426927
cry,aloud,1704,149,13,3.487334281248419,370.9188643366292,63.805918940876154
whole,party,889,145,13,3.545531575904492,755.1627754630523,81.10205100401939
little,eye,1465,1211,13,2.7795022526642734,33.72095883907931,18.33854821963439
exchange,glance,58,252,13,3.5987458922068494,6861.53767344728,140.2832521719232
flash,eye,142,1211,12,3.380764666543583,475.097680342656,67.02864143523261
till,morning,389,497,12,3.370407762527544,419.9952885963686,63.64763889220513
twenty,copeck,188,56,12,3.4589994914429885,8123.452324730858,133.3091309143409
brass,pestle,17,39,12,3.4637803092857764,129351.85631665603,210.61659011541778
cry,shatov,1704,433,12,3.1065303641919932,93.49302999566574,33.04645594667092
third,day,156,1711,12,3.334747659200036,297.8083434156513,56.679890037841474
whole,year,889,871,12,3.088847880600528,88.07621469200272,32.07187958434054
cry,lizabetha,1704,185,12,3.3113286788214364,248.62727959744495,52.04599815918049
ask,ivan,1621,797,12,2.837997665684336,44.56236664153422,21.454213315746653
good,manner,1595,155,12,3.344290394541378,323.37101761379785,57.65743827636793
fyodorovitch,karamazov,327,168,12,3.43747829947517,1537.4762363557152,93.46567256674814
alyosha,look,1239,2970,12,1.68076690429878,5.48747729078671,4.318085079677868
hear,anything,1132,796,12,3.0274203079672883,72.70620239309459,28.827126250979877
cry,raskolnikov,1704,782,12,2.818326284330398,42.608055465021415,20.844346737338018
saw,nothing,589,1567,12,3.016811399361463,70.48513657047589,28.41396458833118
whisper,something,324,1444,12,3.237367270215767,160.1243043099898,43.398862767763845
cry,fyodor,1704,306,12,3.211406920474006,141.37908835178553,40.65618199129992
green,bench,70,75,12,3.461557338029327,16314.331099348723,151.39323643005372
thirty,year,84,871,12,3.4286445693547094,1148.5053099980184,87.97829527402406
little,man,1465,2546,12,1.6565066162896604,5.2586690733610775,4.156934449324217
little,house,1465,888,12,2.833644286395764,44.11899269501002,21.324268605176112
large,sum,201,128,12,3.451633203433827,3310.005878412286,111.86059694968193
hold,forth,550,65,12,3.446776299589892,2375.394058611614,103.53412046024212
cry,liza,1704,202,12,3.2972900846734503,225.7765691469091,50.032721894338216
saith,unto,13,30,12,3.4639126116954144,219914.954500881,230.4589697234311
great,impression,1202,178,12,3.3604133574214297,377.264942984756,61.04318230812665
read,aloud,561,149,12,3.4235923619536894,1002.306354799681,83.30149823695369
certain,person,460,382,12,3.37894344875816,464.43631227126747,65.8273470438117
important,matter,191,609,12,3.4077306115234363,713.6172953628352,75.97451984063045
laugh,aloud,1027,149,12,3.389942964478156,536.8013341332667,68.90465498537289
distant,relation,40,169,12,3.4608255554705223,12664.797147420153,147.16770682936203
large,room,201,1129,12,3.354126327530453,354.36787777744604,60.24710909152546
important,thing,191,1295,12,3.3442322396360424,323.20289257079776,58.28072497899301
certain,point,460,586,11,3.1801806670444583,245.83578073438954,49.34635568744026
man,stand,2546,1039,11,1.9776471203387285,9.687698419669397,6.853622463306573
great,respect,1202,257,11,3.1602607159063862,211.8386447318648,46.32825384674936
great,excitement,1202,159,11,3.2198859271748814,355.4482128509357,56.50000893213099
cry,gania,1704,378,11,2.990592377704943,90.98085397262777,31.25407279993631
much,agitate,1227,52,11,3.284328897627505,1107.751461675168,80.21000875196833
mavriky,mavrikyevitch,149,11,11,3.315795172021424,43953.49268441864,161.29476714249543
holy,father,119,1140,11,3.2479572960373915,509.5253117619785,64.76684486814584
voice,break,588,397,11,3.1984656778416256,287.1524405135837,52.33920778006476
dear,alexey,480,226,11,3.261715091228041,642.5979334534275,68.83226577554431
mutter,alyosha,297,1239,11,3.130361554607031,174.4850417426608,42.953465541203535
preliminary,inquiry,20,79,11,3.3158250362567525,45595.61531071211,168.89263445624624
mitya,cry,911,1704,11,2.5308694254755943,27.036375290658206,14.97117812118167
prince,lef,1984,43,11,3.2734421184163027,822.9930425507247,73.85376400773029
high,rank,285,71,11,3.306382369984436,3539.9725914662044,105.65908277670749
strange,idea,548,798,11,3.095273102789114,143.55272893627702,39.21497105269655
polina,alexandrovna,149,242,11,3.2983731870079227,1976.9464397603947,93.39888868161935
bad,action,376,157,11,3.2867443574748108,1199.0610889035058,82.12640413225755
eye,gleam,1211,47,11,3.2878149143853417,1244.427719442449,82.70125880850465
hundredth,time,14,2625,11,3.2980229149596547,1939.3087158492483,104.81952035384931
arkady,ivanovitch,11,82,11,3.316168221876299,79884.68444109561,195.59582892509127
yefim,petrovitch,11,331,11,3.3147818127141506,19773.619405516692,164.89704810660945
common,cause,90,243,11,3.3055547763443807,3273.685000405257,104.92148516178472
stand,beside,1039,231,11,3.195138599556558,278.70761268626774,51.666193503542914
understand,anything,1051,796,11,2.8931620815505306,65.55815161150055,26.178150067986596
whole,family,889,388,11,3.142029359498115,187.53569666696265,44.05394219432203
young,friend,776,606,11,3.0785936742710023,132.05880255639653,37.6686336148074
honourable,man,63,2546,11,3.2354355764852842,427.62542573239347,62.1070551951002
previous,night,81,587,11,3.292557759894407,1493.9657447119646,88.07340394027631
cry,madame,1704,247,11,3.1035824466393604,149.95363061476064,39.87015776721
strange,smile,548,734,11,3.1130256190851573,157.8649535800418,40.9386198474851
great,agitation,1202,78,11,3.2691679895498624,746.9170277856139,71.84433412305711
little,hand,1465,1662,11,2.084178415666351,11.68955823165456,7.986706358430981
wry,smile,14,734,11,3.311423351673313,6992.0137479117975,132.8356161788542
stupid,thing,259,1295,11,3.1468516742435644,193.4550043766364,44.942711718277856
thou,wouldst,169,13,11,3.3155127272194966,32784.479792074046,154.74962382919531
cry,dounia,1704,321,11,3.0397559954855673,110.687806129179,34.52584082733676
