Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq,t_score,chi_square,likelihood_ratio
stepan,trofimovitch,525,513,512,22.62054167760603,1684023.0901813414,67.69672794302696
pyotr,stepanovitch,834,509,509,22.55015968059954,1055557.609716647,64.95874949569
varvara,petrovna,474,507,422,20.53588115773149,1282040.0231020227,66.41113958495839
katerina,ivanovna,427,635,410,20.24072172053556,1072464.6671237922,67.44702424540952
nikolay,vsyevolodovitch,518,312,312,17.65823657060247,1042110.2091846908,65.42750409906333
fyodor,pavlovitch,306,461,291,17.053945418664053,1038649.7552114284,67.58050380305419
old,man,1356,2546,290,16.91228274032856,41594.2328582344,64.819566503012
nastasia,philipovna,417,251,243,15.58457882085216,976192.3171588288,65.62915514722695
young,man,776,2546,234,15.222454312333372,47513.15218645042,65.15219013851075
old,woman,1356,1047,215,14.606949126259892,55937.09016038057,65.05062744892248
pyotr,petrovitch,834,331,172,13.102718518557722,185185.07156902517,65.33188216807744
lizabetha,prokofievna,185,177,171,13.075250398056978,1545609.9091573455,67.67708815282532
great,deal,1202,250,165,12.831719517092992,156515.7088529612,65.29010698278367
dmitri,fyodorovitch,427,327,162,12.721585270527886,325065.2925227744,65.6376201480293
evgenie,pavlovitch,227,461,158,12.564996148515084,412670.8310572211,66.37494211265886
ha,ha,252,252,157,12.52703654837255,671651.5300996804,66.1665815285264
mavriky,nikolaevitch,149,132,132,11.488136456583653,1533421.8637098595,67.52741390193668
open,door,682,750,128,11.287593386270204,55197.04053013142,1324.4073238738752
old,lady,1356,681,119,10.85981484918598,26310.7816507915,1060.7439859841506
next,day,356,1711,119,10.876458545637234,40010.19981802715,1193.6498603613409
avdotya,romanovna,119,112,112,10.582277787431117,1629146.3606398557,68.34026323033781
ask,question,1621,897,109,10.359858840736797,13928.599934681377,851.8159832560573
alexey,fyodorovitch,226,327,106,10.291483900285435,262999.19551217085,66.21681012879537
nikolay,parfenovitch,518,103,103,10.145854880936367,344029.97290392034,65.83469947166452
young,lady,776,681,97,9.817864045244786,30629.906941794117,936.8957140442654
pyotr,ilyitch,834,100,92,9.586640506808584,175510.62352223136,1216.6969740987702
madame,hohlakov,247,93,90,9.485434327771499,610275.3090765425,1445.717234964674
father,zossima,1140,97,87,9.320530982778156,118323.96778122148,1088.6463147198137
last,time,1586,2625,86,9.01429938902356,2905.88661977253,452.52382194841897
look,round,2970,493,84,9.072869819416187,8175.494394639079,608.5600489657484
andrey,antonovitch,142,83,83,9.10968630726086,1011736.10539952,1458.1787791174327
rodion,romanovitch,97,82,82,9.05487776214727,1463329.7365532483,67.69794747157971
porfiry,petrovitch,213,331,82,9.050887837479461,164944.32184757863,1120.3458059514332
last,night,1586,587,80,8.884147954853765,11741.64691641529,645.5040139320513
marfa,petrovna,143,507,76,8.71299404798844,137769.5306307776,1039.010273514361
lizaveta,nikolaevna,159,76,76,8.716997214103062,827342.6988040047,1305.0012748353108
turn,round,1279,493,76,8.676018513989733,15706.731413253558,665.0828125521556
mlle,blanche,141,104,75,8.659275960787422,663927.5964409359,1263.1059740053547
hold,hand,550,1662,75,8.599284299862166,10503.666346205893,605.0574147585917
last,year,1586,871,73,8.450611426330873,6533.2087619973745,518.2972942343
tell,story,2482,386,72,8.42006238182044,9224.074062175563,560.2245652843952
father,païssy,1140,73,72,8.479616207265341,107697.57539569803,913.6285998592982
sofya,semyonovna,135,71,71,8.425492699310292,910344.1240551213,1247.6527884664056
several,time,212,2625,70,8.328179377179866,15103.644722653333,640.2915614295142
good,heaven,1595,201,69,8.284330096277923,25571.48123234767,682.4125174201781
answer,question,818,897,68,8.194813686552692,10774.32527790976,561.1906044106767
half,hour,387,508,68,8.232440061169077,40582.625350819784,746.614743869413
